angle_deg,rate_dps,wheel_rpm,g_crit,holds_g28,sat_pct_g28
6.0,40,-150,33.91,1,0.0
6.0,40,-100,33.59,1,0.0
6.0,40,-50,33.59,1,0.0
6.0,40,0,32.97,1,0.0
6.0,40,50,32.34,1,0.0
6.0,40,100,31.41,1,2.6
6.0,40,150,31.09,1,4.8
6.0,50,-350,36.41,1,0.0
6.0,50,-300,36.72,1,0.0
6.0,50,-250,36.72,1,0.0
6.0,50,-200,35.78,1,0.0
6.0,50,-150,34.84,1,0.0
6.0,50,-100,34.84,1,0.0
6.0,50,-50,34.22,1,0.0
6.0,50,0,33.59,1,2.2
6.0,50,50,32.66,1,4.4
6.0,50,100,32.03,1,6.6
6.0,50,150,31.72,1,9.4
6.0,60,-350,37.97,1,0.0
6.0,60,-300,39.22,1,0.0
6.0,60,-250,38.28,1,0.0
6.0,60,-200,37.03,1,0.0
6.0,60,-150,36.41,1,0.0
6.0,60,-100,35.47,1,1.2
6.0,60,-50,34.84,1,3.6
6.0,60,0,34.22,1,6.6
6.0,60,50,33.28,1,8.6
6.0,60,100,32.34,1,11.8
6.0,60,150,32.34,1,16.6
6.0,70,-350,41.0,1,0.0
6.0,70,-300,41.0,1,0.0
6.0,70,-250,39.22,1,0.0
6.0,70,-200,38.59,1,0.8
6.0,70,-150,37.34,1,2.6
6.0,70,-100,36.41,1,4.8
6.0,70,-50,35.47,1,8.4
6.0,70,0,34.53,1,11.8
6.0,70,50,33.28,1,16.0
6.0,70,100,32.66,1,23.4
6.0,70,150,30.47,1,39.4
6.0,80,-350,41.0,1,0.0
6.0,80,-300,41.0,1,0.0
6.0,80,-250,41.0,1,2.2
6.0,80,-200,39.84,1,3.8
6.0,80,-150,37.97,1,6.4
6.0,80,-100,36.72,1,10.2
6.0,80,-50,35.16,1,15.0
6.0,80,0,34.22,1,26.0
6.0,80,50,30.78,1,45.0
6.0,80,100,19.0,0,53.4
6.0,80,150,19.0,0,47.8
6.0,90,-350,41.0,1,1.8
6.0,90,-300,41.0,1,3.4
6.0,90,-250,41.0,1,5.2
6.0,90,-200,39.22,1,8.4
6.0,90,-150,36.72,1,12.4
6.0,90,-100,34.84,1,20.6
6.0,90,-50,30.47,1,51.6
6.0,90,0,19.0,0,55.6
6.0,90,50,19.0,0,51.2
6.0,90,100,19.0,0,47.6
6.0,90,150,19.0,0,44.4
7.0,20,-350,23.59,0,33.2
7.0,20,-300,25.78,0,34.8
7.0,20,-250,27.34,0,35.6
7.0,20,-200,27.97,1,35.8
7.0,20,-150,28.28,1,32.8
7.0,20,-100,28.59,1,32.8
7.0,20,-50,28.28,1,34.6
7.0,20,0,28.91,1,23.4
7.0,20,50,28.91,1,23.8
7.0,20,100,28.28,1,30.6
7.0,20,150,27.66,0,33.0
7.0,30,-350,29.22,1,23.2
7.0,30,-300,30.16,1,17.2
7.0,30,-250,30.47,1,3.4
7.0,30,-200,30.47,1,0.0
7.0,30,-150,30.47,1,0.0
7.0,30,-100,30.78,1,0.0
7.0,30,-50,30.47,1,0.0
7.0,30,0,30.78,1,0.0
7.0,30,50,30.16,1,0.0
7.0,30,100,29.22,1,0.4
7.0,30,150,28.28,1,28.4
7.0,40,-350,31.41,1,0.0
7.0,40,-300,32.03,1,0.0
7.0,40,-250,32.03,1,0.0
7.0,40,-200,32.03,1,0.0
7.0,40,-150,31.72,1,0.0
7.0,40,-100,31.41,1,0.0
7.0,40,-50,31.72,1,0.0
7.0,40,0,31.41,1,0.0
7.0,40,50,31.09,1,0.0
7.0,40,100,30.16,1,2.2
7.0,40,150,29.22,1,6.6
7.0,50,-350,33.28,1,0.0
7.0,50,-300,33.59,1,0.0
7.0,50,-250,33.59,1,0.0
7.0,50,-200,33.28,1,0.0
7.0,50,-150,32.66,1,0.0
7.0,50,-100,32.66,1,0.0
7.0,50,-50,32.34,1,0.0
7.0,50,0,32.03,1,1.8
7.0,50,50,31.41,1,3.6
7.0,50,100,31.09,1,5.6
7.0,50,150,30.16,1,7.8
7.0,60,-350,35.47,1,0.0
7.0,60,-300,35.47,1,0.0
7.0,60,-250,34.84,1,0.0
7.0,60,-200,34.22,1,0.0
7.0,60,-150,33.91,1,0.0
7.0,60,-100,33.59,1,0.8
7.0,60,-50,33.28,1,3.0
7.0,60,0,32.97,1,5.6
7.0,60,50,32.03,1,7.4
7.0,60,100,32.03,1,9.8
7.0,60,150,31.09,1,13.6
7.0,70,-350,37.66,1,0.0
7.0,70,-300,37.03,1,0.0
7.0,70,-250,36.09,1,0.0
7.0,70,-200,35.47,1,0.2
7.0,70,-150,34.84,1,2.2
7.0,70,-100,34.53,1,4.0
7.0,70,-50,34.22,1,7.0
7.0,70,0,33.59,1,9.8
7.0,70,50,32.66,1,12.4
7.0,70,100,32.66,1,17.0
7.0,70,150,31.41,1,24.4
7.0,80,-350,39.84,1,0.0
7.0,80,-300,38.28,1,0.0
7.0,80,-250,37.34,1,1.8
7.0,80,-200,36.72,1,3.4
7.0,80,-150,36.09,1,5.2
7.0,80,-100,35.47,1,8.6
7.0,80,-50,34.53,1,12.0
7.0,80,0,33.91,1,17.2
7.0,80,50,33.59,1,24.6
7.0,80,100,31.09,1,40.2
