spin_rpm,kick_ms,capture_deg,inertia_scale,I_w,case,tau,success,peak_opposite_deg,rise_deg,upright_s,capture_s,kick_start_s,tail_angle_deg,tail_rate_dps,impacted,final_phase
300,50,15,0.5,0.001225,nominal,0.18,False,0,1.5172127209892796,,,0.132,,,True,FALLEN
300,100,15,0.5,0.001225,nominal,0.18,False,0,2.6764106924227136,,0.188,0.132,16.0,0.0,True,FALLEN
300,200,15,0.5,0.001225,nominal,0.18,False,0,2.6764106924227136,,0.188,0.132,16.0,0.0,True,FALLEN
300,350,15,0.5,0.001225,nominal,0.18,False,0,2.6764106924227136,,0.188,0.132,16.0,0.0,True,FALLEN
300,500,15,0.5,0.001225,nominal,0.18,False,0,2.6764106924227136,,0.188,0.132,16.0,0.0,True,FALLEN
350,20,5,0.5,0.001225,nominal,0.18,False,0,0.36659250753859673,,,0.166,,,True,FALLEN
350,50,5,0.5,0.001225,nominal,0.18,False,0,1.8565362748721856,,,0.166,,,True,FALLEN
350,100,5,0.5,0.001225,nominal,0.18,False,0,5.663921188439003,,,0.166,,,True,FALLEN
350,200,5,0.5,0.001225,nominal,0.18,True,1.6650323708026047,17.665032370802606,1.224,0.368,0.166,1.0884861212187331,2.1869280758444067,False,BALANCING
350,350,5,0.5,0.001225,nominal,0.18,True,1.6650323708026047,17.665032370802606,1.224,0.368,0.166,1.0884861212187331,2.1869280758444067,False,BALANCING
350,500,5,0.5,0.001225,nominal,0.18,True,1.6650323708026047,17.665032370802606,1.224,0.368,0.166,1.0884861212187331,2.1869280758444067,False,BALANCING
350,20,10,0.5,0.001225,nominal,0.18,False,0,0.36659250753859673,,,0.166,,,True,FALLEN
350,50,10,0.5,0.001225,nominal,0.18,False,0,1.8565362748721856,,,0.166,,,True,FALLEN
350,100,10,0.5,0.001225,nominal,0.18,False,0,5.663921188439003,,,0.166,,,True,FALLEN
350,200,10,0.5,0.001225,nominal,0.18,False,0,9.83302747927744,,0.306,0.166,16.0,0.0,True,FALLEN
350,350,10,0.5,0.001225,nominal,0.18,False,0,9.83302747927744,,0.306,0.166,16.0,0.0,True,FALLEN
350,500,10,0.5,0.001225,nominal,0.18,False,0,9.83302747927744,,0.306,0.166,16.0,0.0,True,FALLEN
350,20,15,0.5,0.001225,nominal,0.18,False,0,0.36659250753859673,,,0.166,,,True,FALLEN
350,50,15,0.5,0.001225,nominal,0.18,False,0,2.797600890151738,,0.218,0.166,16.0,0.0,True,FALLEN
350,100,15,0.5,0.001225,nominal,0.18,False,0,2.797600890151738,,0.218,0.166,16.0,0.0,True,FALLEN
350,200,15,0.5,0.001225,nominal,0.18,False,0,2.797600890151738,,0.218,0.166,16.0,0.0,True,FALLEN
350,350,15,0.5,0.001225,nominal,0.18,False,0,2.797600890151738,,0.218,0.166,16.0,0.0,True,FALLEN
